APT_CODE,APT_NAME
TRD,VAERNES AIRPORT
PVD,T.F. GREEN STATE AIRPORT
RIX,RIGA INTERNATIONAL AIRPORT
BRS,BRISTOL AIRPORT
IBZ,IBIZA AIRPORT
BOD,BORDEAUX AIRPORT
HAJ,HANNOVER AIRPORT
LCY,CITY AIRPORT
ELP,EL PASO INTERNATIONAL AIRPORT
SKG,MAKEDONIA AIRPORT
FAO,FARO AIRPORT
MEM,MEMPHIS INTERNATIONAL AIRPORT
TIJ,A.L. RODRIGUEZ INTL AIRPORT
BEG,NIKOLA TESLA AIRPORT
YWG,J.A. RICHARDSON INTL AIRPORT
SIP,SIMFEROPOL INTERNATIONAL AIRPORT
CIA,CIAMPINO AIRPORT
VLC,VALENCIA AIRPORT
SDF,INTERNATIONAL-STANDIFORD FIELD AIRPORT
ACE,LANZAROTE AIRPORT
TUL,TULSA INTERNATIONAL AIRPORT
PMO,PUNTA RAISI AIRPORT
TUS,TUCSON INTERNATIONAL AIRPORT
RIC,RICHMOND INTERNATIONAL AIRPORT
BOI,BOISE AIR TERMINAL (GOWEN FIELD)
YHZ,STANFIELD INTERNATIONAL AIRPORT
GEG,SPOKANE INTERNATIONAL AIRPORT
PSA,GALILEO GALILEI AIRPORT
MLA,LUQA AIRPORT
BHM,SHUTTLESWORTH INTERNATIONAL AIRPORT
LCA,LARNACA AIRPORT
KEF,KEFLAVIK INTERNATIONAL AIRPORT
BIO,BILBAO AIRPORT
CHS,CHARLESTON INTERNATIONAL/AFB
ORF,NORFOLK INTERNATIONAL AIRPORT
AER,SOCHI INTERNATIONAL
NTE,NANTES ATLANTIQUE AIRPORT
SOF,SOFIA AIRPORT
LPL,JOHN LENNON AIRPORT
YTZ,BILLY BISHOP CITY AIRPORT
SVQ,SEVILLA AIRPORT
BVA,BEAUVAIS-TILLE AIRPORT
ALB,ALBANY INTERNATIONAL AIRPORT
BFS,BELFAST INTERNATIONAL AIRPORT
TFN,TENERIFE-NORTE
HER,NIKOS KAZANTZAKIS AIRPORT
KRK,J. PAUL II BALICE INTERNATIONAL AIRPORT
EIN,EINDHOVEN AIRPORT
BRI,PALESE AIRPORT
TRN,CASELLE AIRPORT
FUE,FUERTEVENTURA AIRPORT
NCL,NEWCASTLE INTERNATIONAL AIRPORT
GDN,LECH WALESA AIRPORT
MHT,MANCHESTER-BOSTON REGIONAL AIRPORT
CAG,ELMAS AIRPORT
ABZ,DYCE AIRPORT
ROC,GREATER ROCHESTER INTERNATIONAL AIRPORT
GRR,GERALD R. FORD INTL AIRPORT
EMA,EAST MIDLANDS AIRPORT
NUE,NUREMBERG AIRPORT
GYD,HEYDAR ALIYEV INTERNATIONAL AIRPORT
LBA,LEEDS/BRADFORD AIRPORT
KRR,PASHKOVSKY AIRPORT
VNO,VILNIUS INTERNATIONAL AIRPORT
TOS,TROMSO/LANGNES AIRPORT
ECN,ERCAN AIRPORT
KOA,KEAHOLE AIRPORT
CAK,REGIONAL AIRPORT
ZAG,PLESO AIRPORT
BHD,GEORGE BEST CITY AIRPORT
LUX,LUXEMBOURG AIRPORT
LIT,B. AND H. CLINTON NATIONAL AIRPORT
DSM,DES MOINES INTERNATIONAL AIRPORT
BMA,BROMMA AIRPORT
DAY,JAMES M. COX INTERNATIONAL AIRPORT
LIH,LIHUE AIRPORT
BRE,BREMEN AIRPORT
BOO,BODO AIRPORT
ICT,DWIGHT D. EISENHOWER AIRPORT
MSQ,MINSK INTERNATIONAL
GSP,GREENVILLE-SPARTANBURG INTERNATIONAL AIRPORT
RHO,DIAGORAS AIRPORT
ISP,LONG ISLAND MACARTHUR AIRPORT
FLR,PERETOLA AIRPORT
PWM,PORTLAND INTERNATIONAL JETPORT
LGB,DAUGHERTY FIELD AIRPORT
MAF,MIDLAND INTERNATIONAL AIRPORT
WMI,MODLIN AIRPORT
HHN,HAHN AIRPORT
FNC,MADEIRA AIRPORT
YYT,ST JOHN'S INTERNATIONAL AIRPORT
TLL,LENNART MERI AIRPORT
BLL,BILLUND AIRPORT
MAH,MAHON AIRPORT
SCQ,SANTIAGO DE COMPOSTELA AIRPORT
SYR,HANCOCK INTERNATIONAL AIRPORT
KIV,CHISINAU AIRPORT
TSF,TREVISO/SANT' ANGELO AIRPORT
LEJ,LEIPZIG/HALLE AIRPORT
OLB,COSTA SMERALDA AIRPORT
PSP,PALM SPRINGS INTERNATIONAL AIRPORT
EVN,ZVARTNOTS INTERNATIONAL AIRPORT
MYR,MYRTLE BEACH INTERNATIONAL AIRPORT
SUF,LAMEZIA TERME AIRPORT
SAV,HILTON HEAD INTERNATIONAL AIRPORT
GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT
YYJ,VICTORIA INTERNATIONAL AIRPORT
BDS,CASALE AIRPORT
SFB,SANFORD INTERNATIONAL AIRPORT
SOU,SOUTHAMPTON AIRPORT
VRN,VILLAFRANCA AIRPORT
TBS,TBILISI INTERNATIONAL AIRPORT
MMX,STURUP AIRPORT
TIA,RINAS AIRPORT
PNS,PENSACOLA INTERNATIONAL AIRPORT
ROV,ROSTOV AIRPORT
WRO,STRACHOWICE AIRPORT
KUF,KURUMOCH INTERNATIONAL PSC AIRPORT
ORK,CORK INTERNATIONAL AIRPORT
MRV,MINERALNYE VODY AIRPORT
JER,JERSEY AIRPORT
YQB,JEAN LESAGE INTERNATIONAL AIRPORT
KTW,PYRZOWICE AIRPORT
VVO,KNEVICHI AIRPORT
KHV,NOVY AIRPORT
MSN,DANE COUNTY REGIONAL AIRPORT
TYS,MCGHEE TYSON AIRPORT
YLW,KELOWNA INTERNATIONAL AIRPORT
DTM,DORTMUND AIRPORT
DRS,DRESDEN AIRPORT
LBB,PRESTON SMITH INTERNATIONAL AIRPORT
UFA,UFA AIRPORT
SPU,SPLIT AIRPORT
YXE,J.G. DIEFENBAKER INTL AIRPORT
SZG,W. A. MOZART AIRPORT
TRF,SANDEFJORD AIRPORT
NRN,WEEZE AIRPORT
KJA,YEMELYANOVO AIRPORT
NYO,SKAVSTA AIRPORT
CHQ,IOANNIS DASKALOGIANNIS AIRPORT
IKT,IRKUTSK AIRPORT
JNU,JUNEAU INTERNATIONAL AIRPORT
ECP,NW FLORIDA BEACHES INTERNATIONAL AIRPORT
RTM,ROTTERDAM AIRPORT
KZN,KAZAN INTERNATIONAL AIRPORT
AHO,FERTILIA AIRPORT
MPL,MEDITERRANEE AIRPORT
TJM,ROSHCHINO AIRPORT
FAT,FRESNO YOSEMITE INTERNATIONAL
AAL,AALBORG AIRPORT
FAI,FAIRBANKS INTERNATIONAL AIRPORT
HPN,WESTCHESTER COUNTY AIRPORT
LJU,JOZE PUCNIK AIRPORT
SNN,SHANNON INTERNATIONAL AIRPORT
LIL,LESQUIN AIRPORT
GRO,COSTA BRAVA AIRPORT
KGD,KHRABROVO AIRPORT
YQR,REGINA INTERNATIONAL AIRPORT
CFU,IOANNIS KAPODISTRIAS AIRPORT
TPS,BIRGI AIRPORT
GOA,CRISTOFORO COLOMBO AIRPORT
AJA,NAPOLEON BONAPARTE AIRPORT
DBV,DUBROVNIK AIRPORT
XNA,NORTHWEST ARKANSAS REGIONAL AIRPORT
BTV,BURLINGTON INTERNATIONAL AIRPORT
PIE,ST. PETE-CLEARWATER INTERNATIONAL AIRPORT
SXB,ENTZHEIM AIRPORT
CLJ,NAPOCA AIRPORT
PDL,NORDELA AIRPORT
MDT,HARRISBURG INTERNATIONAL AIRPORT
LEX,BLUE GRASS AIRPORT
SKP,SKOPJE AIRPORT
AES,VIGRA AIRPORT
UME,UMEA AIRPORT
KRS,KJEVIK AIRPORT
FNT,BISHOP INTERNATIONAL AIRPORT
YMM,FORT MCMURRAY AIRPORT
SRQ,BRADENTON INTERNATIONAL AIRPORT
ITO,HILO INTERNATIONAL AIRPORT
LLA,KALLAX AIRPORT
BIA,PORETTA AIRPORT
AMA,RICK HUSBAND INTERNATIONAL AIRPORT
CID,THE EASTERN IOWA AIRPORT
CEK,BALANDINO AIRPORT
GCI,GUERNSEY AIRPORT
COS,MUNICIPAL AIRPORT
HSV,HUNTSVILLE INTL - CARL T. JONES FIELD AIRPORT
CRP,CORPUS CHRISTI INTERNATIONAL AIRPORT
YKS,YAKUTSK AIRPORT
BTS,IVANKA AIRPORT
POZ,LAWICA AIRPORT
GRZ,GRAZ AIRPORT
BZN,YELLOWSTONE INTERNATIONAL AIRPORT
CAE,COLUMBIA METROPOLITAN AIRPORT
AZA,MESA GATEWAY AIRPORT
HRL,VALLEY INTERNATIONAL AIRPORT
JAN,MEDGAR W. EVERS INTERNATIONAL AIRPORT
YZF,YELLOWKNIFE AIRPORT
LCG,A CORUNA AIRPORT
FSD,JOE FOSS FIELD AIRPORT
SPC,LA PALMA AIRPORT
BET,BETHEL AIRPORT
BIQ,BIARRITZ PARME AIRPORT
KTN,KETCHIKAN INTERNATIONAL AIRPORT
BIL,LOGAN INTERNATIONAL AIRPORT
BES,BRETAGNE AIRPORT
IOM,RONALDSWAY AIRPORT
SGF,SPRINGFIELD-BRANSON NATIONAL AIRPORT
FAR,HECTOR INTERNATIONAL AIRPORT
FKB,BADEN AIRPARK
YQT,THUNDER BAY INTERNATIONAL AIRPORT
GOJ,STRIGINO AIRPORT
IEV,ZHULIANY INTERNATIONAL AIRPORT
BLI,BELLINGHAM INTERNATIONAL AIRPORT
MJV,SAN JAVIER AIRPORT
SEN,SOUTHEND AIRPORT
ILM,WILMINGTON INTERNATIONAL AIRPORT
EYW,KEY WEST INTERNATIONAL AIRPORT
CJS,ABRAHAM GONZALEZ INTERNATIONAL AIRPORT
MFE,MILLER INTERNATIONAL AIRPORT
FMO,MUENSTER AIRPORT
SBA,SANTA BARBARA MUNICIPAL AIRPORT
MLI,QUAD CITY INTERNATIONAL AIRPORT
BTR,METROPOLITAN - RYAN AIRPORT
AVL,ASHEVILLE REGIONAL AIRPORT
EUG,MAHLON SWEET FIELD AIRPORT
YQM,GREATER MONCTON INTERNATIONAL AIRPORT
VPS,DESTIN-FT. WALTON BEACH AIRPORT
ALF,ALTA AIRPORT
YKA,KAMLOOPS AIRPORT
FWA,FORT WAYNE INTERNATIONAL AIRPORT
MFR,ROGUE VALLEY INTERNATIONAL AIRPORT
TLH,TALLAHASSEE INTERNATIONAL AIRPORT
PGD,PUNTA GORDA AIRPORT
TGD,GOLUBOVCI AIRPORT
CWL,CARDIFF AIRPORT
MLH,EUROAIRPORT FRENCH
CHA,CHATTANOOGA METROPOLITAN AIRPORT
TIV,TIVAT AIRPORT
INV,INVERNESS AIRPORT
TTN,MERCER COUNTY AIRPORT
MSO,MISSOULA INTERNATIONAL AIRPORT
PIA,GENERAL DOWNING INTERNATIONAL AIRPORT
ASE,PITKIN COUNTY AIRPORT
ROA,ROANOKE REGIONAL AIRPORT (WOODRUM FIELD)
SBN,SOUTH BEND INTERNATIONAL AIRPORT
YXX,ABBOTSFORD INTERNATIONAL AIRPORT
SHV,SHREVEPORT REGIONAL AIRPORT
GRB,AUSTIN-STRAUBEL INTERNATIONAL AIRPORT
PSC,TRI-CITIES AIRPORT
MOL,ARO AIRPORT
PUF,PYRENEES AIRPORT
MOB,MOBILE REGIONAL AIRPORT
YXU,LONDON INTERNATIONAL AIRPORT
KKN,HOEYBUKTMOEN AIRPORT
LFT,LAFAYETTE REGIONAL AIRPORT
EXT,EXETER AIRPORT
YRT,RANKIN INLET AIRPORT
RAP,RAPID CITY REGIONAL AIRPORT
ABE,LEHIGH VALLEY INTERNATIONAL AIRPORT
REX,LUCIO BLANCO INTL AIRPORT
YQQ,COMOX AIRPORT
FSC,SUD CORSE AIRPORT
BIS,BISMARCK MUNICIPAL AIRPORT
ATW,APPLETON INTERNATIONAL AIRPORT
DAB,DAYTONA BEACH INTERNATIONAL AIRPORT
CHO,ALBEMARLE AIRPORT
CRW,YEAGER AIRPORT
RDM,ROBERTS FIELD AIRPORT
GPT,GULFPORT/BILOXI INTERNATIONAL AIRPORT
YFB,IQALUIT AIRPORT
DRO,LA PLATA COUNTY AIRPORT
BOH,BOURNEMOUTH INTERNATIONAL AIRPORT
YQU,GRANDE PRAIRIE AIRPORT
YYR,GOOSE BAY AIRPORT
GJT,GRAND JUNCTION REGIONAL AIRPORT
VDS,VADSO AIRPORT
YXS,PRINCE GEORGE AIRPORT
AGS,AUGUSTA REGIONAL (BUSH FIELD) AIRPORT
HFT,HAMMERFEST AIRPORT
YZV,SEPT-ILES AIRPORT
PIK,PRESTWICK AIRPORT
BGR,BANGOR INTERNATIONAL AIRPORT
EVV,EVANSVILLE REGIONAL AIRPORT
AVP,WILKES-BARRE INTERNATIONAL AIRPORT
YDF,DEER LAKE REGIONAL AIRPORT
KSU,KVERNBERGET AIRPORT
FAY,REGIONAL (GRANNIS FIELD) AIRPORT
GNV,GAINESVILLE REGIONAL AIRPORT
OME,NOME AIRPORT
YWK,WABUSH AIRPORT
AAR,AARHUS AIRPORT
EGE,EAGLE COUNTY REGIONAL AIRPORT
PHF,NEWPORT NEWS/WILLIAMSBURG AIRPORT
MLN,MELILLA AIRPORT
YTS,VICTOR M. POWER AIRPORT
OTZ,RALPH WIEN MEMORIAL AIRPORT
NWI,NORWICH INTERNATIONAL AIRPORT
YQG,WINDSOR AIRPORT
YSB,SUDBURY AIRPORT
SBP,SAN LUIS COUNTY REGIONAL AIRPORT
RKV,REYKJAVIK DOMESTIC AIRPORT
YCD,NANAIMO AIRPORT
BRW,W.POST - W.ROGERS MEMORIAL AIRPORT
CLY,SAINTE CATHERINE AIRPORT
ELM,ELMIRA REGIONAL AIRPORT
BRO,SOUTH PADRE ISLAND INTERNATIONAL AIRPORT
LUG,AGNO AIRPORT
CIY,VINCENZO MAGLIOCCO AIRPORT
OAJ,ALBERT J ELLIS AIRPORT
YAM,SAULT STE. MARIE AIRPORT
YVP,KUUJJUAQ AIRPORT
MKK,MOLOKAI AIRPORT
LDY,EGLINTON AIRPORT
KLU,KLAGENFURT AIRPORT
ACK,NANTUCKET MEMORIAL AIRPORT
ADQ,KODIAK AIRPORT
EAS,SAN SEBASTIAN AIRPORT
SWF,STEWART INTERNATIONAL AIRPORT
ANR,ANTWERP INTERNATIONAL AIRPORT
PBG,PLATTSBURGH INTERNATIONAL AIRPORT
YTH,THOMPSON AIRPORT
NQY,CORNWALL AIRPORT
ENA,KENAI MUNICIPAL AIRPORT
LSI,SUMBURGH AIRPORT
KOI,KIRKWALL AIRPORT
ITH,TOMPKINS REGIONAL AIRPORT
BZR,BEZIERS VIAS AIRPORT
IAG,NIAGARA FALLS INTERNATIONAL AIRPORT
EWN,COASTAL CAROLINA REGIONAL AIRPORT
LDE,TARBES OSSUN LOURDES AIRPORT
KRP,KARUP AIRPORT
BGM,GREATER BINGHAMTON AIRPORT
HUY,HUMBERSIDE AIRPORT
YUM,YUMA INTERNATIONAL AIRPORT
FNI,GARONS AIRPORT
MME,TEES VALLEY AIRPORT
SYY,STORNOWAY AIRPORT
YBL,CAMPBELL RIVER AIRPORT
LRT,LANN BIHOUE AIRPORT
GNB,GRENOBLE-SAINT GEOIRS AIRPORT
MCM,MONTE CARLO HELIPORT
UNK,UNALAKLEET AIRPORT
LCK,RICKENBACKER INTERNATIONAL AIRPORT
YYF,PENTICTON REGIONAL AIRPORT
YHU,ST. HUBERT AIRPORT
ANI,ANIAK AIRPORT
LBC,LUEBECK-BLANKENSEE AIRPORT
ORH,WORCESTER REGIONAL AIRPORT
KWT,KWETHLUK AIRPORT
SMX,SANTA MARIA PUBLIC AIRPORT
XFW,FINKENWERDER AIRPORT
UIP,PLUGUFFAN AIRPORT
YWH,INNER HARBOUR SPB
VQS,A. RIVERA RODRIGUEZ AIRPORT
YNA,NATASHQUAN AIRPORT
GAL,EDWARD G. PITKA SR. AIRPORT
NME,NIGHTMUTE AIRPORT
HHH,HILTON HEAD AIRPORT
VST,VASTERAS/HASSLO AIRPORT
LKE,LAKE UNION SEA PLANE BASE
MAM,SERVANDO CANALES INTL AIRPORT
LKL,BANAK AIRPORT
BZZ,RAF STATION
KKI,AKIACHAK AIRPORT
SMK,ST MICHAEL AIRPORT
JHM,KAPALUA AIRPORT
HYA,BARNSTABLE MUNICIPAL AIRPORT
OOK,TOKSOOK BAY AIRPORT
EMK,EMMONAK AIRPORT
ACI,ALDERNEY AIRPORT
CMF,CHAMBERY AIRPORT
KSM,SAINT MARY'S AIRPORT
KUK,KASIGLUK AIRPORT
ZGS,LA ROMAINE AIRPORT
ATT,ATMAUTLUAK AIRPORT
HVN,TWEED AIRPORT
AKI,AKIAK AIRPORT
BEB,BENBECULA AIRPORT
BLV,MIDAMERICA ST LOUIS AIRPORT
ZKG,KEGASKA AIRPORT
CIU,CHIPPEWA COUNTY INTERNATIONAL AIRPORT
CEG,HAWARDEN AIRPORT
SHD,SHENANDOAH VALLEY REGIONAL AIRPORT
WIC,WICK AIRPORT
MHG,MANNHEIM CITY AIRPORT
OWB,DAVIESS COUNTY AIRPORT
CLD,MCCLELLAN-PALOMAR AIRPORT
PSM,PORTSMOUTH PEASE INTERNATIONAL
GSE,SAEVE AIRPORT
LUK,MUNICIPAL (LUNKEN FIELD) AIRPORT
ILY,ISLAY AIRPORT
EWB,NEW BEDFORD REGIONAL AIRPORT
PUB,PUEBLO MEMORIAL AIRPORT
SNR,MONTOIR AIRPORT
PVC,PROVINCETOWN MUNICIPAL AIRPORT
OGD,HINCKLEY AIRPORT
DND,DUNDEE AIRPORT
MUE,WAIMEA-KOHALA AIRPORT
VIS,VISALIA MUNICIPAL AIRPORT
NRR,J. APONTE DE LA TORRE AIRPORT
BHB,HANCOCK COUNTY AIRPORT
BFI,BOEING FIELD-KING COUNTY INTERNATIONAL AIRPORT
SKE,SKIEN AIRPORT
HNM,HANA AIRPORT
ILG,NEW CASTLE AIRPORT
MMU,MORRISTOWN MUNICIPAL AIRPORT
LUP,KALAUPAPA AIRPORT
LNS,LANCASTER AIRPORT
GLO,GLOUCESTERSHIRE AIRPORT
IPL,IMPERIAL COUNTY AIRPORT
BLK,BLACKPOOL AIRPORT
CAL,CAMPBELTOWN AIRPORT
AVN,AVIGNON-CAUM AIRPORT
SIG,F.L. RIBAS DOMINICCI AIRPORT
MQJ,MOMA AIRPORT
POX,PONTOISE-CORMEILLES AIRPORT
INT,SMITH REYNOLDS AIRPORT
MBX,EDVARD RUSJAN AIRPORT
CBG,CAMBRIDGE AIRPORT
DSI,DESTIN EXECUTIVE AIRPORT
PDK,DEKALB-PEACHTREE AIRPORT
BLD,BOULDER CITY AIRPORT
BKL,BURKE LAKEFRONT AIRPORT
YND,GATINEAU AIRPORT
MKC,C.B. WHEELER DOWNTOWN AIRPORT
FRG,REPUBLIC AIRPORT
APF,NAPLES MUNICIPAL AIRPORT
RIV,MARCH JARB
NEW,LAKEFRONT AIRPORT
OLV,OLIVE BRANCH AIRPORT
OSF,OSTAFYEVO AIRPORT
PTK,OAKLAND COUNTY INTERNATIONAL AIRPORT
ARA,ACADIANA REGIONAL AIRPORT
NTB,NOTODDEN AIRPORT
RKE,ROSKILDE AIRPORT
VBS,BRESCIA/MONTICHIARI AIRPORT
CPS,DOWNTOWN AIRPORT
POB,POPE FIELD AIRPORT
SKF,LACKLAND AFB - KELLY FIELD
BWE,BRAUNSCHWEIG AIRPORT
HHR,HAWTHORNE MUNICIPAL AIRPORT
HWD,HAYWARD EXECUTIVE AIRPORT
TRM,J. COCHRAN REGIONAL AIRPORT
MVL,MORRISVILLE/STOWE STATE AIRPORT
MYF,MONTGOMERY FIELD
EFD,ELLINGTON AIRPORT
PLH,PLYMOUTH CITY AIRPORT
PZE,PENZANCE HELIPORT
ISC,ST. MARY'S AIRPORT
TSO,TRESCO HELIPORT
BRR,BARRA AIRPORT
MSE,KENT INTERNATIONAL AIRPORT
CVT,COVENTRY AIRPORT
TRE,TIREE AIRPORT
NRL,NORTH RONALDSAY AIRPORT
PPW,PAPA WESTRAY AIRPORT
WRY,WESTRAY AIRPORT
NDY,SANDAY AIRPORT
SOY,STRONSAY AIRPORT
LEQ,SAINT JUST AIRPORT
DSA,ROBIN HOOD AIRPORT
SWS,FAIRWOOD COMM AIRPORT
BQH,BIGGIN HILL AIRPORT
BBP,Bembridge
LWK,LERWICK/TINGWALL AIRPORT
FIE,FAIR ISLE AIRPORT
MHZ,MILDENHALL RAF STATION
OBN,NORTH CONNEL AIRPORT
OXF,LONDON OXFORD AIRPORT
EOI,EDAY AIRPORT
COL,COLL ISLAND AIRPORT
UNT,BALTASOUND AIRPORT
CSA,COLONSAY AIRPORT
VLY,VALLEY AIRPORT
ESH,SHOREHAM AIRPORT
BBS,BLACKBUSHE AIRPORT
QUG,Chichester/Goodwood
FSS,Kinloss
QFO,Duxford
FAB,FARNBOROUGH AIRPORT
FOA,FOULA AIRPORT
OUK,Out Skerries
PSV,PAPA STOUR AIRPORT
ANX,ANDENES AIRPORT
FDE,BRINGELAND AIRPORT
N01,Voss�airport: B�moen
BNN,BRONNOY AIRPORT
BJF,BATSFJORD AIRPORT
BVG,BERLEVAG AIRPORT
N02,Geilo�airport: Dagali
BDU,BARDUFOSS AIRPORT
EVE,EVENES AIRPORT
VDB,VALDRES AIRPORT
FRO,FLORA AIRPORT
HAU,HAUGESUND AIRPORT
HAA,HASVIK AIRPORT
HVG,VALAN AIRPORT
N03,Kjeller�airport
LKN,LEKNES AIRPORT
FAN,FARSUND
MEH,MEHAMN AIRPORT
OSY,NAMSOS AIRPORT
OLA,ORLAND AIRPORT
